code,name,cate_code,cate_name
35480,마제스타,189102,유원지 및 기타 오락관련 서비스업
38290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업"
204320,만도,33003,자동차 신품 부품 제조업
1080,만호제강,32401,1차 철강 제조업
267980,매일유업,31005,낙농제품 및 식용빙과류 제조업
5990,매일홀딩스,116409,기타 금융업
127160,매직마이크로,32602,전자부품 제조업
93520,매커스,74605,기계장비 및 관련 물품 도매업
141070,맥스로텍,32902,특수 목적용 기계 제조업
88980,맥쿼리인프라,116402,신탁업 및 집합투자업
94800,맵스리얼티1,116402,신탁업 및 집합투자업
67280,멀티캠퍼스,168506,기타 교육기관
72870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업"
215200,메가스터디교육,168505,일반 교습 학원
133750,메가엠디,168505,일반 교습 학원
200580,메디쎄이,32701,의료용 기기 제조업
41920,메디아나,32701,의료용 기기 제조업
233250,메디안디노스틱,32103,의료용품 및 기타 의약 관련제품 제조업
236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업
86900,메디톡스,32101,기초 의약물질 및 생물학적 제제 제조업
78160,메디포스트,32101,기초 의약물질 및 생물학적 제제 제조업
65650,메디프론,74605,기계장비 및 관련 물품 도매업
15540,메디플란트,147509,기타 사업지원 서비스업
138040,메리츠금융지주,116409,기타 금융업
8560,메리츠종금증권,116601,금융 지원 서비스업
60,메리츠화재,116501,보험업
21880,메이슨캐피탈,116409,기타 금융업
140410,메지온,137001,자연과학 및 공학 연구개발업
241770,메카로,32004,기타 화학제품 제조업
90370,메타랩스,31401,봉제의복 제조업
59210,메타바이오메드,32103,의료용품 및 기타 의약 관련제품 제조업
58110,멕아이씨에스,32701,의료용 기기 제조업
96640,멜파스,32602,전자부품 제조업
17180,명문제약,32102,의약품 제조업
267060,명진홀딩스,31002,수산물 가공 및 저장 처리업
12690,모나리자,31709,기타 종이 및 판지 제품 제조업
5360,모나미,74604,생활용품 도매업
149940,모다,32604,통신 및 방송 장비 제조업
80420,모다이노칩,74704,"섬유, 의복, 신발 및 가죽제품 소매업"
80160,모두투어,147502,여행사 및 기타 여행보조 서비스업
204210,모두투어리츠,126801,부동산 임대 및 공급업
100030,모바일리더,105802,소프트웨어 개발 및 공급업
87260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업
101330,모베이스,32604,통신 및 방송 장비 제조업
250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
33200,모아텍,32602,전자부품 제조업
9680,모토닉,33003,자동차 신품 부품 제조업
118990,모트렉스,33003,자동차 신품 부품 제조업
6920,모헨즈,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
9580,무림P&P,31701,"펄프, 종이 및 판지 제조업"
1810,무림SP,31701,"펄프, 종이 및 판지 제조업"
9200,무림페이퍼,31701,"펄프, 종이 및 판지 제조업"
33920,무학,31101,알코올음료 제조업
8420,문배철강,32401,1차 철강 제조업
161570,미동앤씨네마,32605,영상 및 음향기기 제조업
279600,미디어젠,105802,소프트웨어 개발 및 공급업
28040,미래SCI,32309,기타 비금속 광물제품 제조업
95500,미래나노텍,32202,플라스틱제품 제조업
25560,미래산업,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
218150,미래생명자원,31008,동물용 사료 및 조제식품 제조업
7120,미래아이앤지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
6800,미래에셋대우,116601,금융 지원 서비스업
265480,미래에셋대우스팩1호,116601,금융 지원 서비스업
85620,미래에셋생명,116501,보험업
239340,미래에셋제5호스팩,116601,금융 지원 서비스업
49950,미래컴퍼니,32902,특수 목적용 기계 제조업
213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업
207760,미스터블루,106309,기타 정보 서비스업
225850,미애부,74604,생활용품 도매업
2840,미원상사,32004,기타 화학제품 제조업
268280,미원에스씨,32001,기초 화학물질 제조업
107590,미원홀딩스,116409,기타 금융업
134380,미원화학,32004,기타 화학제품 제조업
3650,미창석유공업,31902,석유 정제품 제조업
59090,미코,32601,반도체 제조업
214610,미코바이오메드,32701,의료용 기기 제조업
201490,미투온,105802,소프트웨어 개발 및 공급업
214180,민앤지,106309,기타 정보 서비스업
