code,ratio of operating profit to revenue,ROS,ROE,ROA,debt ratio,EPS,BPS,PER,PBR,cash dividend yield ratio,cash dividend payout ratio,sales_qoq,operating revenue_qoq,net income_qoq,assets_qoq,equity_qoq,assets_turnover_ratio,equity_turnover_ratio,median,var,skew,kurt,slope
038870,-9475.29,-13822.97,-40.08,-21.8,129.32,-2356.0,4604.0,-4.04,2.03,,,-0.9811320754716981,-14.307692307692308,-64.25,-0.21142857142857144,-0.3451086956521739,0.001597444089456869,0.003284072249589491,9440.0,1250006.354556803,-0.6142825340979284,-0.6469309439292701,-2.773262723920428e-13
086520,3.54,-8.16,-4.71,-0.83,143.02,-412.0,6636.0,-125.74,5.94,,0.0,0.27183271832718325,0.12121212121212122,1.7096774193548387,0.053113983548766154,-0.043072132848988066,0.2367216117216117,0.5483956510209493,38000.0,8415606.741573038,-0.3874029291458915,-0.8051838323408336,-6.328454987973701e-13
038110,0.46,-0.4,-7.18,-1.54,344.7,1.0,5403.0,-4.85,0.36,,0.0,0.005016722408026756,-1.2156862745098038,-0.8387096774193549,-0.018289585097375105,0.02034428794992175,0.41086993676294653,1.8621223857474827,1825.0,7157.393882646699,0.03080430070789387,0.2737047141929789,-7.139844095128732e-15
073540,-26.8,-17.06,-7.6,-4.8,76.41,-73.0,3025.0,-12.96,1.02,,0.0,0.16666666666666666,-0.3157894736842105,-9.0,0.015025041736227046,-0.0226628895184136,0.0811930405965203,0.14040114613180515,2822.5,41760.427590511885,0.5364785241722023,-0.3116654856895522,-1.6008794227295962e-16
064850,6.35,16.53,16.05,12.95,31.09,57.0,2110.0,9.87,1.47,,86.9,0.043478260869565216,-0.3333333333333333,0.3333333333333333,-0.010309278350515464,0.05,0.12435233160621761,0.1672473867595819,4700.0,161001.62609238425,-0.9117816370854173,-0.2520994800734373,6.70145110381711e-14
064090,1.92,-1.69,29.66,13.55,119.01,-6.0,904.0,13.81,3.09,,0.0,-0.5012919896640827,-0.9333333333333333,-1.0566037735849056,0.152,0.017699115044247787,0.20499203398831653,0.4232456140350877,3142.5,98079.95006242217,-0.15307667309450884,-1.378899627583784,-6.163740619039123e-14
036810,5.17,4.74,14.04,7.43,68.64,111.0,4555.0,9.83,1.19,1.47,64.92,-0.07346938775510205,-0.425,-0.26666666666666666,-0.01105379513633014,0.040522875816993466,0.33642089662838087,0.5816784112748238,5725.0,256602.0474406993,1.2029537691258998,0.3217106659185376,2.4356229623427424e-14
173940,6.79,-16.74,-9.56,-5.04,27.53,-341.0,4883.0,-15.27,1.52,,0.0,-0.12893982808022922,0.9090909090909091,-52.0,-0.04471858134155744,-0.05360623781676413,0.23974763406940064,0.3044566850275413,9475.0,2155649.5505617997,0.880132844295743,0.46395396195924166,-1.514239491667302e-14
083500,-13.53,-69.07,-33.16,-18.48,52.03,-1483.0,5764.0,-4.46,1.24,0.0,,-0.4641509433962264,-10.5,-33.666666666666664,-0.1567489114658926,-0.07506053268765134,0.22362204724409449,0.3572327044025157,6130.0,119820.73657927594,0.29917019157862745,0.08887284095006542,-6.315943917401621e-14
065160,-5.0,-40.75,-13.24,-7.71,50.03,-140.0,1147.0,-30.9,4.04,,0.0,-0.019417475728155338,-1.2173913043478262,-3.484848484848485,-0.005115089514066497,0.5622489959839357,0.17264957264957265,0.3166144200626959,3580.0,262490.4494382022,2.99330852010763,7.254742113144417,-7.22678259534227e-14
054940,6.36,0.13,-7.49,-3.79,114.95,11.0,1706.0,-9.87,0.77,,0.0,-0.1241565452091768,0.36666666666666664,-0.9629629629629629,-0.005578800557880056,-0.005997001499250375,0.45384615384615384,0.9759398496240601,1545.0,9922.047440699178,0.45549520212005074,0.1728812089795264,1.524629884155646e-14
950130,-19.99,-48.05,-12.82,-9.07,72.63,-116.0,1628.0,-19.05,2.81,,0.0,-0.16161616161616163,0.13333333333333333,1.3529411764705883,-0.09845559845559845,-0.12459546925566344,0.08426395939086294,0.14322691975841242,5070.0,175097.8932584269,-0.05358798477793438,-0.5556153039474214,-8.158436937833356e-14
205100,44.5,19.47,-1.26,-0.05,27.13,39.0,1343.0,-278.87,2.99,,0.0,0.45,6.428571428571429,1.5555555555555556,0.14471243042671614,0.12761020881670534,0.20069204152249134,0.2529989094874591,3897.5,121891.6853932585,-0.7547447730534615,-0.46682866641222853,-8.332124658440239e-14
092870,-8.59,-15.75,11.24,8.83,21.14,-203.0,8648.0,17.84,1.9,,-65.14,-0.521551724137931,-1.2564102564102564,-1.4285714285714286,-0.0673469387755102,-0.020752269779507133,0.11721224920802534,0.145478374836173,10650.0,1713168.9013732884,0.21984963351295464,-0.14889069835713675,-3.5469791010642335e-13
067570,-0.6,-0.11,3.34,1.41,159.93,-19.0,5572.0,18.31,0.58,,-687.27,0.048411497730711045,-0.1111111111111111,-2.0,0.0032265003226500323,-0.04726500265533723,0.29764844840545474,0.7538754419363611,2852.5,22859.00436953828,0.45846107951748266,-0.7365405947851884,1.5116365453439086e-14
101400,-33.55,-73.05,-62.43,-23.42,153.8,-67.0,196.0,-5.89,3.6,,0.0,-0.07407407407407407,1.0833333333333333,3.5833333333333335,-0.20318725099601595,-0.18229166666666666,0.1662971175166297,0.4297994269340974,899.5,26521.136204744103,0.3949823090960145,-0.6586214132517778,-3.1058846635129596e-15
036570,35.48,22.64,19.14,15.09,29.21,5384.0,128056.0,22.26,3.49,,130.96,-0.2667399972501031,-0.4228187919463087,-0.5608869501999273,0.1160126582278481,0.10992720322095245,0.15951305596267162,0.20558585994872883,369000.0,580838451.9350822,0.523707000123166,-0.8749438911881122,-3.693083682704259e-12
217820,2.92,-2.78,4.21,2.08,159.37,-63.0,4870.0,87.43,3.65,,0.0,-0.23448275862068965,-0.625,-1.375,0.04915254237288136,-0.01646090534979424,0.18362282878411912,0.4605809128630705,15450.0,2469426.9662921354,0.16813910105650232,-0.3836233452628006,-3.948705382283655e-13
138250,13.71,13.44,13.88,7.0,84.37,497.0,12604.0,9.95,1.29,,39.51,0.056827820186598814,-0.35471698113207545,-0.0670391061452514,-0.07486759749638902,0.04042924881457449,0.1558084281605602,0.3047945205479452,13850.0,184859.23845193503,-0.6889561416606877,-0.4988718726272001,-9.312199755327027e-14
